id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,-1.46469,-0.471182,1.90735e-06,0,0,-0.706376,0.707837,
1,-1.35802,-3.37878,9.53674e-07,0,0,-0.0130127,0.999915,
2,-0.886809,-3.32829,0,-7.33185e-09,2.02879e-09,0.7237,0.690115,
3,-0.925867,-2.3572,0,0,0,-0.00348069,0.999994,
4,-0.826054,-0.369531,-9.53674e-07,-7.97792e-08,7.55231e-08,-0.000672847,1,
5,1.61404,-0.31135,0,1.65761e-09,1.11674e-07,-0.689475,0.72431,
6,1.61058,-1.8583,2.6226e-06,5.8334e-08,-5.91715e-08,-0.999753,0.0222235,
7,0.615223,-1.88676,9.53674e-07,1.09772e-07,-4.92426e-10,-0.717442,0.696619,
8,0.578605,-3.35899,9.53674e-07,5.04383e-08,5.1189e-08,0.0188189,0.999823,
9,3.1851,-3.35911,9.53674e-07,-7.08874e-09,-7.03436e-08,-0.706093,-0.708119,
10,3.13074,-1.45343,-9.53674e-07,2.05525e-08,-9.78376e-09,-1,0.000124671,
11,3.1455,0.0980964,0,0,0,-0.999944,0.0105818,
12,1.46735,0.143389,1.90735e-06,1.85369e-08,-2.28864e-08,1,-0.000251949,
13,-0.494174,0.149322,-9.53674e-07,6.17317e-08,-6.0346e-08,-0.999935,-0.0114018,
14,-1.35519,0.0933802,4.76837e-07,0,0,-0.720446,0.693511,
