id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,1.26434,2.39902,0,0,0,-0.701733,0.71244,
1,1.29655,0.999263,4.76837e-07,0,0,-0.70714,0.707073,
2,1.26325,-0.28072,-4.76837e-07,-6.46075e-09,3.79451e-09,0.0139659,0.999902,
3,1.80996,-0.206944,4.76837e-07,0,0,0.708041,0.706171,
4,1.70903,0.724319,-2.38419e-07,2.13878e-09,9.88542e-09,-0.0113773,0.999935,
5,1.79402,2.69036,-2.86103e-06,0,0,0.00359808,0.999994,
6,3.04055,2.69995,4.76837e-07,-8.0429e-08,3.98649e-08,-0.00890929,0.999961,
7,4.29189,2.68543,-4.76837e-07,0,0,-0.6896,0.72419,
8,4.35312,1.26397,4.76837e-07,1.58271e-08,-2.9768e-09,-0.999844,0.0176762,
9,3.2997,1.2649,0,1.86534e-09,-1.31123e-09,-0.706674,0.707539,
10,3.30213,-0.249441,0,0,0,-0.0041285,0.999991,
11,4.40126,-0.311314,7.15256e-07,0,0,0.00455342,0.99999,
12,5.86315,-0.320705,4.76837e-07,0,0,0.705922,0.70829,
13,5.94246,1.62253,2.38418e-06,-2.11867e-08,-4.21517e-09,0.999732,0.0231368,
14,5.94596,3.17448,0,0,0,0.999981,0.00624314,
15,4.45043,3.20363,-4.76837e-07,-8.91955e-09,6.03131e-10,-0.999812,0.0193714,
16,3.29887,3.22704,0,0,0,1,-4.37114e-08,
17,2.2397,3.19854,4.76837e-07,6.02829e-08,-6.05795e-08,-0.999909,0.0135107,
18,1.30862,3.16188,-9.53674e-07,-1.32213e-08,-1.37936e-08,-0.709793,0.70441,
